j,A,omega,v,miu
6.14,0.226,3,1,1
7.3,0.178,3,1,3
11.03,0.28,3,1,3
9.1,0.136,1,1,1
12.85,0.67,0.75,3,1
14,0.33,0.75,3,1
13.75,2.66,0.75,3,1
