78,1.509,1.0915,0.72999,0.69783,0.53404,0.41799,0.28307
79,1.484,1.0657,0.71237,0.68242,0.52206,0.40742,0.27502
80,1.46,1.0415,0.6967,0.66801,0.51093,0.39756,0.26752
81,1.4368,1.0188,0.68294,0.65456,0.50059,0.38838,0.26051
82,1.4146,0.99782,0.67104,0.64203,0.49103,0.37985,0.25399
83,1.3933,0.97841,0.66096,0.63039,0.48221,0.37194,0.24792
84,1.3729,0.96062,0.65265,0.61959,0.47409,0.36463,0.24228
85,1.3535,0.94442,0.64607,0.60962,0.46666,0.35788,0.23705
86,1.335,0.92984,0.64117,0.60043,0.45988,0.35168,0.23222
87,1.3175,0.91685,0.6379,0.59201,0.45374,0.346,0.22776
88,1.3009,0.90545,0.63623,0.58433,0.44822,0.34083,0.22367
89,1.2853,0.89565,0.63611,0.57736,0.44329,0.33614,0.21993
90,1.2707,0.88743,0.63749,0.57109,0.43895,0.33193,0.21652
91,1.2571,0.88079,0.64033,0.56551,0.43517,0.32818,0.21343
92,1.2445,0.87571,0.6446,0.56058,0.43195,0.32488,0.21066
93,1.2329,0.8722,0.65023,0.55631,0.42927,0.32202,0.2082
94,1.2222,0.87023,0.65721,0.55268,0.42713,0.31959,0.20603
95,1.2126,0.86979,0.66547,0.54967,0.42552,0.31757,0.20416
96,1.204,0.87088,0.67499,0.54728,0.42444,0.31598,0.20258
97,1.1963,0.87348,0.68571,0.54551,0.42387,0.31479,0.20128
98,1.1896,0.87757,0.6976,0.54434,0.42382,0.31401,0.20025
99,1.184,0.88315,0.71061,0.54377,0.42429,0.31364,0.19951
100,1.1793,0.89018,0.72471,0.54381,0.42527,0.31367,0.19904
101,1.1756,0.89866,0.73986,0.54444,0.42677,0.31411,0.19885
102,1.1728,0.90857,0.756,0.54567,0.42879,0.31495,0.19893
103,1.1711,0.91988,0.77311,0.5475,0.43134,0.3162,0.19929
104,1.1702,0.93258,0.79115,0.54993,0.43442,0.31786,0.19993
105,1.1704,0.94665,0.81007,0.55297,0.43803,0.31994,0.20085
106,1.1714,0.96206,0.82983,0.55663,0.4422,0.32245,0.20206
107,1.1734,0.97878,0.8504,0.5609,0.44692,0.32539,0.20356
108,1.1763,0.9968,0.87174,0.56581,0.45222,0.32877,0.20536
