16,6.94659,6.864876,6.639286,6.398135,5.372276,4.569565,3.913068,3.372946,2.557702,1.990608,1.771745,1.425805,1.168847,9.74E-01,8.22E-01,7.03E-01,4.96E-01,3.68E-01,2.25E-01,1.52E-01,1.09E-01,6.52E-02,4.37E-02,3.15E-02,2.39E-02,2.12E-02,1.89E-02,1.53E-02,1.27E-02
17,6.73187,6.620165,6.347507,6.07039,4.94889,4.122333,3.474219,2.956897,2.199879,1.688876,1.494979,1.192294,9.71E-01,8.04E-01,6.76E-01,5.75E-01,4.03E-01,2.98E-01,1.81E-01,1.22E-01,8.80E-02,5.25E-02,3.51E-02,2.54E-02,1.93E-02,1.70E-02,1.52E-02,1.23E-02,1.02E-02
18,6.513414,6.372632,6.055611,5.745909,4.547491,3.711881,3.08153,2.592096,1.895591,1.437855,1.266737,1.002474,8.11E-01,6.69E-01,5.60E-01,4.75E-01,3.31E-01,2.44E-01,1.48E-01,9.94E-02,7.17E-02,4.28E-02,2.87E-02,2.07E-02,1.57E-02,1.39E-02,1.24E-02,1.00E-02,8.29E-03
19,6.292345,6.123644,5.765341,5.426673,4.169534,3.3376,2.732097,2.273673,1.637412,1.229038,1.078339,8.48E-01,6.82E-01,5.60E-01,4.68E-01,3.96E-01,2.75E-01,2.02E-01,1.22E-01,8.19E-02,5.91E-02,3.53E-02,2.36E-02,1.71E-02,1.29E-02,1.14E-02,1.02E-02,8.24E-03,6.82E-03
20,6.069741,5.874487,5.478284,5.114415,3.815836,2.998207,2.422589,1.996697,1.418604,1.05516,9.23E-01,7.21E-01,5.78E-01,4.73E-01,3.94E-01,3.33E-01,2.30E-01,1.68E-01,1.02E-01,6.82E-02,4.92E-02,2.94E-02,1.97E-02,1.42E-02,1.08E-02,9.51E-03,8.47E-03,6.85E-03,5.66E-03
21,5.846621,5.62636,5.195861,4.810622,3.486676,2.691935,2.14947,1.756385,1.2332,9.10E-01,7.93E-01,6.17E-01,4.93E-01,4.02E-01,3.34E-01,2.82E-01,1.94E-01,1.42E-01,8.55E-02,5.74E-02,4.14E-02,2.47E-02,1.66E-02,1.19E-02,9.04E-03,7.98E-03,7.10E-03,5.74E-03,4.74E-03
22,5.623946,5.380368,4.919326,4.516536,3.18188,2.416697,1.909179,1.548243,1.075998,7.89E-01,6.86E-01,5.31E-01,4.23E-01,3.44E-01,2.85E-01,2.40E-01,1.65E-01,1.20E-01,7.25E-02,4.87E-02,3.51E-02,2.10E-02,1.40E-02,1.01E-02,7.65E-03,6.75E-03,6.00E-03,4.84E-03,4.00E-03
23,5.402608,5.137518,4.649765,4.233164,2.900911,2.170218,1.698248,1.368141,9.43E-01,6.87E-01,5.96E-01,4.60E-01,3.65E-01,2.97E-01,2.45E-01,2.06E-01,1.42E-01,1.03E-01,6.20E-02,4.16E-02,3.00E-02,1.79E-02,1.20E-02,8.62E-03,6.52E-03,5.75E-03,5.11E-03,4.12E-03,3.39E-03
24,5.183426,4.898711,4.3881,3.961292,2.642949,1.950143,1.513392,1.212351,8.29E-01,6.01E-01,5.21E-01,4.01E-01,3.17E-01,2.57E-01,2.12E-01,1.78E-01,1.22E-01,8.89E-02,5.34E-02,3.58E-02,2.58E-02,1.54E-02,1.03E-02,7.40E-03,5.59E-03,4.93E-03,4.38E-03,3.52E-03,2.90E-03
25,4.96715,4.664751,4.135092,3.701501,2.406962,1.754118,1.351556,1.077552,7.32E-01,5.29E-01,4.57E-01,3.51E-01,2.77E-01,2.24E-01,1.85E-01,1.55E-01,1.06E-01,7.71E-02,4.63E-02,3.10E-02,2.24E-02,1.33E-02,8.90E-03,6.39E-03,4.82E-03,4.25E-03,3.77E-03,3.03E-03,2.50E-03
26,4.754451,4.436336,3.891351,3.454183,2.191768,1.579851,1.209946,9.61E-01,6.49E-01,4.67E-01,4.03E-01,3.08E-01,2.43E-01,1.96E-01,1.62E-01,1.36E-01,9.25E-02,6.72E-02,4.03E-02,2.70E-02,1.95E-02,1.16E-02,7.74E-03,5.55E-03,4.18E-03,3.68E-03,3.27E-03,2.63E-03,2.16E-03
