3.00E-04,3.00E+03
0.000367,1.86E+03
0.000401,1.49E+03
0.000403,3.00E+04
4.48E-04,2.39E+04
5.48E-04,1.51E+04
7.15E-04,7.71E+03
9.34E-04,3.81E+03
1.00E-03,3.31E+03
1.50E-03,1.08E+03
2.00E-03,4.76E+02
3.00E-03,1.45E+02
4.00E-03,6.09E+01
5.00E-03,3.09E+01
6.00E-03,1.76E+01
8.00E-03,7.17E+00
1.00E-02,3.55E+00
1.50E-02,9.72E-01
2.00E-02,3.87E-01
3.00E-02,1.10E-01
4.00E-02,5.05E-02
5.00E-02,3.22E-02
6.00E-02,2.55E-02
8.00E-02,2.21E-02
1.00E-01,2.23E-02
1.50E-01,2.47E-02
2.00E-01,2.67E-02
3.00E-01,2.87E-02
4.00E-01,2.95E-02
5.00E-01,2.97E-02
6.00E-01,2.96E-02
8.00E-01,2.89E-02
1.00E+00,2.79E-02
1.25E+00,2.67E-02
1.50E+00,2.55E-02
2.00E+00,2.35E-02
3.00E+00,2.06E-02
4.00E+00,1.87E-02
5.00E+00,1.73E-02
6.00E+00,1.64E-02
8.00E+00,1.51E-02
1.00E+01,1.43E-02
1.50E+01,1.33E-02
2.00E+01,1.29E-02
