1,9.74
1.2,10.26
1.3,10.91
1.5,11.99
1.7,13.78
1.9,16.98
2.1,17.62
2.2,18.94
2.5,19.11
2.8,22.7
3,18.74
3.3,16.88
3.6,15.59
4,14.08
4.5,12.9
5,12.74
6,12.53
7,12.43
8,13.01
10,13.23
12,13.23
15,12.8
20,12.1
25,11.41
30,10.67
50,8.68
