1.00E-03,9.39E+03
1.07E-03,8.13E+03
1.15E-03,7.02E+03
1.15E-03,7.32E+03
1.50E-03,4.07E+03
2.00E-03,2.08E+03
3.00E-03,7.71E+02
4.00E-03,3.73E+02
4.78E-03,2.36E+02
4.78E-03,6.52E+02
5.00E-03,6.02E+02
5.10E-03,5.69E+02
5.10E-03,7.63E+02
5.28E-03,7.08E+02
5.45E-03,6.54E+02
5.45E-03,7.53E+02
6.00E-03,5.98E+02
8.00E-03,2.87E+02
1.00E-02,1.61E+02
1.50E-02,5.42E+01
2.00E-02,2.47E+01
3.00E-02,7.97E+00
3.46E-02,5.35E+00
3.46E-02,1.09E+01
4.00E-02,9.32E+00
5.00E-02,6.54E+00
6.00E-02,4.54E+00
8.00E-02,2.37E+00
1.00E-01,1.38E+00
1.50E-01,4.89E-01
2.00E-01,2.37E-01
3.00E-01,9.52E-02
4.00E-01,5.76E-02
5.00E-01,4.32E-02
